127.0.0.1 - - [10/Mar/2023:09:38:41 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:38:42 +0900] "GET /javaScript/quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:38:42 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:51:43 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:51:43 +0900] "GET /jQuery/js/jquery-3.6.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:56:46 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9018
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:57:23 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9019
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:57:23 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:05:34 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9044
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:05:57 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9062
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:05:57 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:07:41 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9089
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:07:41 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:09:36 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9197
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:12:10 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:12:42 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:13:01 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:13:26 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:15:47 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:05 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9237
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:05 +0900] "GET /jQuery/img/Chrysanthemum.jpg HTTP/1.1" 200 879394
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:05 +0900] "GET /jQuery/img/Desert.jpg HTTP/1.1" 200 845941
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:05 +0900] "GET /jQuery/img/Koala.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:05 +0900] "GET /jQuery/img/Hydrangeas.jpg HTTP/1.1" 200 595284
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:05 +0900] "GET /jQuery/img/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:05 +0900] "GET /jQuery/img/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:05 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:49 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9289
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:16:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:19:41 +0900] "GET /jQuery/03_DOM_Operation.html HTTP/1.1" 200 9371
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:19:41 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:20:09 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:21:44 +0900] "GET /favicon.ico HTTP/1.1" 404 819
